player,player_id,team,season,lg,replaced,full_team_name
Bam Adebayo,adebaba01,East,2024,NBA,FALSE,Miami Heat
Giannis Antetokounmpo,antetgi01,East,2024,NBA,FALSE,Milwaukee Bucks
Paolo Banchero,banchpa01,East,2024,NBA,FALSE,Orlando Magic
Scottie Barnes,barnesc01,East,2024,NBA,FALSE,Toronto Raptors
Jaylen Brown,brownja02,East,2024,NBA,FALSE,Boston Celtics
Jalen Brunson,brunsja01,East,2024,NBA,FALSE,New York Knicks
Joel Embiid,embiijo01,East,2024,NBA,TRUE,Philadelphia 76ers
Tyrese Haliburton,halibty01,East,2024,NBA,FALSE,Indiana Pacers
Damian Lillard,lillada01,East,2024,NBA,FALSE,Milwaukee Bucks
Tyrese Maxey,maxeyty01,East,2024,NBA,FALSE,Philadelphia 76ers
Donovan Mitchell,mitchdo01,East,2024,NBA,FALSE,Cleveland Cavaliers
Julius Randle,randlju01,East,2024,NBA,TRUE,Minnesota Timberwolves
Jayson Tatum,tatumja01,East,2024,NBA,FALSE,Boston Celtics
Trae Young,youngtr01,East,2024,NBA,FALSE,Atlanta Hawks
Devin Booker,bookede01,West,2024,NBA,FALSE,Phoenix Suns
Stephen Curry,curryst01,West,2024,NBA,FALSE,Golden State Warriors
Anthony Davis,davisan02,West,2024,NBA,FALSE,Dallas Mavericks
Luka Dončić,doncilu01,West,2024,NBA,FALSE,Los Angeles Lakers
Kevin Durant,duranke01,West,2024,NBA,FALSE,Houston Rockets
Anthony Edwards,edwaran01,West,2024,NBA,FALSE,Minnesota Timberwolves
Paul George,georgpa01,West,2024,NBA,FALSE,Philadelphia 76ers
Shai Gilgeous-Alexander,gilgesh01,West,2024,NBA,FALSE,Oklahoma City Thunder
LeBron James,jamesle01,West,2024,NBA,FALSE,Los Angeles Lakers
Nikola Jokić,jokicni01,West,2024,NBA,FALSE,Denver Nuggets
Kawhi Leonard,leonaka01,West,2024,NBA,FALSE,Los Angeles Clippers
Karl-Anthony Towns,townska01,West,2024,NBA,FALSE,New York Knicks
Kyrie Irving,,East,2023,NBA,FALSE,Dallas Mavericks
Donovan Mitchell,,East,2023,NBA,FALSE,Cleveland Cavaliers
Giannis Antetokounmpo,,East,2023,NBA,FALSE,Milwaukee Bucks
Kevin DurantI,,East,2023,NBA,TRUE,Phoenix Suns
Jayson Tatum,,East,2023,NBA,FALSE,Boston Celtics
Jaylen Brown,,East,2023,NBA,FALSE,Boston Celtics
DeMar DeRozan,,East,2023,NBA,FALSE,Chicago Bulls
Tyrese Haliburton,,East,2023,NBA,FALSE,Indiana Pacers
Jrue Holiday,,East,2023,NBA,FALSE,Milwaukee Bucks
Julius Randle,,East,2023,NBA,FALSE,New York Knicks
Bam Adebayo,,East,2023,NBA,FALSE,Miami Heat
Joel Embiid,,East,2023,NBA,FALSE,Philadelphia 76ers
Pascal Siakam,,East,2023,NBA,FALSE,Toronto Raptors
Stephen Curry,,West,2023,NBA,FALSE,Golden State Warriors
Luka Don?i?,,West,2023,NBA,TRUE,Dallas Mavericks
Nikola Joki?,,West,2023,NBA,FALSE,Denver Nuggets
LeBron James,,West,2023,NBA,FALSE,Los Angeles Lakers
Zion Williamson,,West,2023,NBA,FALSE,New Orleans Pelicans
Shai Gilgeous-Alexander,,West,2023,NBA,FALSE,Oklahoma City Thunder
Damian Lillard,,West,2023,NBA,FALSE,Portland Trail Blazers
Ja MorantST2,,West,2023,NBA,FALSE,Memphis Grizzlies
Paul George,,West,2023,NBA,FALSE,Los Angeles Clippers
Jaren Jackson Jr.,,West,2023,NBA,FALSE,Memphis Grizzlies
Lauri Markkanen,,West,2023,NBA,FALSE,Utah Jazz
Domantas Sabonis,,West,2023,NBA,FALSE,Sacramento Kings
Anthony Edwards,,West,2023,NBA,FALSE,Minnesota Timberwolves
De'Aaron Fox,,West,2023,NBA,TRUE,Sacramento Kings
Trae Young,,East,2022,NBA,FALSE,Atlanta Hawks
DeMar DeRozan,,East,2022,NBA,FALSE,Chicago Bulls
Joel Embiid,,East,2022,NBA,TRUE,Philadelphia 76ers
Kevin DurantI,,East,2022,NBA,FALSE,Brooklyn Nets
Giannis Antetokounmpo,,East,2022,NBA,FALSE,Milwaukee Bucks
LaMelo Ball,,East,2022,NBA,TRUE,Charlotte Hornets
Darius Garland,,East,2022,NBA,FALSE,Cleveland Cavaliers
James HardenI,,East,2022,NBA,FALSE,Philadelphia 76ersNOTE1
Zach LaVine,,East,2022,NBA,FALSE,Chicago Bulls
Fred VanVleet,,East,2022,NBA,FALSE,Toronto Raptors
Jimmy Butler,,East,2022,NBA,FALSE,Miami Heat
Khris Middleton,,East,2022,NBA,FALSE,Milwaukee Bucks
Jayson Tatum,,East,2022,NBA,FALSE,Boston Celtics
Jarrett Allen,,East,2022,NBA,FALSE,Cleveland Cavaliers
Stephen Curry,,West,2022,NBA,FALSE,Golden State Warriors
Ja Morant,,West,2022,NBA,FALSE,Memphis Grizzlies
Nikola Joki?,,West,2022,NBA,FALSE,Denver Nuggets
LeBron James,,West,2022,NBA,FALSE,Los Angeles Lakers
Andrew Wiggins,,West,2022,NBA,FALSE,Golden State Warriors
Devin Booker,,West,2022,NBA,FALSE,Phoenix Suns
Luka Don?i?,,West,2022,NBA,FALSE,Dallas Mavericks
Donovan Mitchell,,West,2022,NBA,TRUE,Utah Jazz
Dejounte Murray,,West,2022,NBA,FALSE,San Antonio Spurs
Chris Paul,,West,2022,NBA,FALSE,Phoenix Suns
Draymond Green,,West,2022,NBA,TRUE,Golden State Warriors
Rudy Gobert,,West,2022,NBA,FALSE,Utah Jazz
Karl-Anthony Towns,,West,2022,NBA,FALSE,Minnesota Timberwolves
Bradley Beal,,East,2021,NBA,FALSE,Washington Wizards
Kyrie Irving,,East,2021,NBA,TRUE,Brooklyn Nets
Giannis Antetokounmpo,,East,2021,NBA,FALSE,Milwaukee Bucks
Kevin DurantI,,East,2021,NBA,TRUE,Brooklyn Nets
Joel Embiid,,East,2021,NBA,TRUE,Philadelphia 76ers
Jaylen Brown,,East,2021,NBA,TRUE,Boston Celtics
James Harden,,East,2021,NBA,FALSE,Brooklyn Nets
