college,1-5,6-10,11-15,16-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60
Abilene Christian University,0,0,0,0,0,0,0,0,0,0,0,4
Acadia University,0,0,0,0,0,0,0,0,0,0,0,1
Adams State College,0,0,0,0,0,0,0,0,0,0,0,2
Adelphi University,0,0,0,0,0,0,0,0,0,0,0,1
Air Force,0,0,0,0,0,0,0,0,0,0,0,2
Alabama,3,2,4,5,7,1,2,3,5,3,2,9
Alabama A&M University,0,0,0,0,0,0,0,0,0,0,0,1
Alabama State University,0,0,0,1,0,1,1,1,0,1,1,9
Albany State University,0,0,0,1,0,0,1,0,0,0,0,6
Albright College,0,0,0,0,0,0,0,0,0,0,0,1
Alcorn State,0,0,0,1,1,0,0,1,1,0,0,9
Alderson-Broaddus College,0,0,0,0,0,0,0,0,0,0,0,2
Allan Hancock College,0,0,0,0,0,0,0,0,0,0,0,1
Alliance College,0,0,0,0,0,0,0,0,0,0,0,1
Alliant International University,0,0,0,0,0,0,0,0,0,0,0,2
American International College,0,0,0,0,0,0,0,0,0,0,0,2
American University,1,0,0,0,0,0,0,1,1,0,0,8
Angelo State University,0,0,0,0,0,0,0,0,0,0,0,1
Appalachian State University,0,0,0,0,0,0,0,0,0,0,0,5
Arizona,5,10,5,2,5,3,9,5,8,3,2,19
Arizona State,3,2,1,0,5,1,5,1,2,5,1,16
Arkansas,2,6,4,0,3,3,1,7,1,1,0,16
Arkansas State University,0,0,0,0,1,0,0,0,1,0,0,5
Arkansas Tech University,0,0,0,1,0,0,0,0,0,0,0,1
Armstrong Atlantic State University,0,0,0,0,0,0,0,0,0,0,0,3
Ashland University,0,0,0,0,0,0,0,0,0,0,0,5
Assumption College,0,0,0,0,0,0,0,0,0,0,0,3
Auburn,5,0,1,1,4,1,4,1,1,3,1,14
Auburn University at Montgomery,0,0,0,0,0,0,0,1,0,0,0,0
Augsburg College,0,0,0,0,1,0,0,0,0,0,0,2
Augusta State University,0,0,0,0,0,0,0,0,0,0,0,3
Augustana College (IL),0,0,0,0,0,0,0,0,0,0,0,2
Augustana College (SD),0,0,0,0,0,0,0,0,1,0,0,1
Aurora University,0,0,0,0,0,0,0,0,0,0,0,2
Austin Peay State University,0,0,0,0,0,1,2,0,0,0,0,6
Azusa Pacific University,0,0,0,0,0,0,0,0,0,0,0,3
BYU,2,3,2,2,2,2,2,1,1,2,0,21
Baldwin-Wallace College,0,0,0,0,0,0,0,0,0,0,0,4
Ball State University,0,0,1,0,0,0,0,0,0,0,0,3
Barber-Scotia College,0,0,0,0,0,0,0,0,0,0,0,1
Barton County Community College,0,0,1,0,0,0,0,0,0,0,0,0
Bates College,0,0,0,0,0,0,0,0,0,0,0,0
Bay College,0,0,0,0,0,0,0,0,0,0,0,1
Baylor,1,4,1,3,4,1,1,3,2,2,0,6
Belhaven College,0,0,0,0,0,0,0,1,0,0,0,0
Bellarmine University,0,0,0,0,0,0,0,0,0,0,0,2
Belmont,0,0,0,0,0,2,0,0,0,0,0,1
Belmont Abbey College,0,0,0,0,0,0,0,1,1,0,0,0
Beloit College,0,0,0,1,1,0,0,0,0,0,0,0
Benedict College,0,0,0,0,0,0,0,0,0,1,0,1
Benedictine College,0,0,0,0,1,0,0,0,0,1,0,1
Bentley College,0,0,0,0,0,0,0,0,1,0,0,2
Bethel College,0,0,0,0,0,0,0,0,1,0,0,0
Bethune-Cookman College,0,0,0,0,0,0,0,0,0,1,0,3
Biola University,0,0,0,0,0,0,0,0,0,0,0,1
Bishop College,0,0,0,0,0,0,0,0,0,0,0,2
Bloomfield College,0,0,0,0,0,0,0,0,0,0,0,2
Bloomsburg University of Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,1
Boise State,0,0,0,0,1,0,0,0,0,0,2,5
Boston College,1,1,2,3,3,3,1,2,1,0,4,14
Boston State University,0,0,0,0,0,0,0,0,0,0,0,1
Boston University,0,0,0,0,0,0,0,0,2,2,1,7
Bowling Green,3,0,1,1,1,0,1,2,0,0,1,14
Bradley,1,2,4,0,3,0,0,4,5,2,3,17
Brandeis University,0,0,0,0,0,0,0,0,0,1,0,5
Briar Cliff University,0,0,0,0,0,0,0,0,0,0,0,4
Bridgewater State College,0,0,0,0,0,0,0,0,0,0,0,1
Brown University,0,0,0,0,0,0,0,0,0,0,0,3
Bucknell,0,0,0,0,0,0,0,1,1,0,0,1
Buffalo,0,0,0,0,0,0,0,0,0,0,0,1
Buffalo State,0,0,0,0,0,0,0,0,0,0,0,2
Butler,0,1,0,0,0,0,1,0,0,0,0,5
Butler County Community College,0,0,0,0,0,0,0,0,1,0,0,0
Cal Poly,0,0,0,0,0,0,0,0,0,0,0,1
Cal State Dominguez Hills,0,0,0,0,0,0,0,0,0,0,0,1
Cal State Fullerton,0,1,0,0,0,0,1,0,0,3,0,9
Cal State Long Beach,1,1,0,2,1,3,1,2,2,4,3,12
Cal State Northridge,0,0,0,0,0,0,0,0,0,0,0,2
Cal State-Bakersfield,0,0,0,0,0,0,0,1,0,0,0,0
California,4,3,1,1,3,1,3,0,6,3,2,22
California Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,1
"California State University, Los Angeles",0,0,0,1,0,0,0,0,0,1,1,3
California University of Pennslyvania,0,0,0,0,0,0,0,0,0,0,0,2
Cameron University,0,0,0,0,0,0,0,0,0,0,0,3
Campbell,0,0,0,0,0,0,0,0,0,0,0,2
Canisius,0,0,0,1,2,1,1,1,0,1,0,11
Carson-Newman College,0,0,0,0,0,0,0,0,0,0,0,2
Carthage College,0,0,0,0,0,0,0,0,0,0,0,1
Case Western Reserve University,0,0,0,0,0,0,1,0,0,0,0,0
Catawba College,0,0,0,0,0,0,0,0,0,0,0,5
Centenary (LA),0,1,0,0,0,0,0,0,1,0,0,7
Central Connecticut State University,0,0,0,0,0,0,0,0,0,0,0,2
Central Florida,0,1,0,0,0,0,1,0,0,0,0,1
Central Michigan University,0,1,1,0,0,1,0,2,0,0,0,9
